PWSID,pfas_detected,Is Wholesaler,Is Source Water Protected,# of Facilities,PWS Type_Community water system,PWS Type_Non-Transient non-community system,PWS Type_Transient non-community system,Primary Source_Ground water,Primary Source_Ground water purchased,Primary Source_Groundwater under influence of surface water,Primary Source_Surface water,Primary Source_Surface water purchased,Service Area_Municipality,Service Area_Residential Area,Service Area_Institution,Service Area_School,Service Area_Industrial/Agricultural,geochem_U_count,seller_chain_depth,treat_gac,treat_pac,treat_mfl,treat_iex,treat_con,treat_gwd,disinfect_none,disinfect_uv,disinfect_ozone,sdwa_treated,sdwa_filtered,is_purchased,source_water_pct,source_agriculture_pct,source_urban_pct,source_forest_pct,source_grassland_pct,source_shrub_pct,source_wetland_pct,source_barren_pct,source_other_pct,log_Population Served Count,log_Service Connections Count,log_dist_industry_km,log_dist_fuds_km,log_dist_military_km,log_count_industry_in_huc12,log_count_discharge_in_huc12,log_count_manufacturer_in_huc12,log_count_fuds_in_huc12,log_count_military_in_huc12,log_well_top_open_ft,log_well_screen_len_ft,log_dist_wwtp_km,log_count_wwtp_in_huc12,log_dist_airport_km,log_count_airports_in_huc12,log_dist_landfill_km,log_count_landfills_in_huc12,FWT_GU,FWT_GW,FWT_MX,FWT_SW,ROCK_100,ROCK_200,ROCK_300,ROCK_400,ROCK_500,ROCK_600,ROCK_999,ROCK_missing,precip_mm_ann,log_dist_pfas_clustered_km
CT0070021,0.0,0.0,1.0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.6485,4.444100000000001,35.16075,47.08325,0.59005,0.43025,6.15485,0.4881999999999999,0.0,8.542665987389269,7.846980982138788,1.8818286663169224,2.291453364565493,3.230195514750892,1.6094379124341005,0.0,0.0,0.6931471805599453,0.0,,,2.0003171622138463,1.3862943611198906,3.63420149082316,0.0,3.558098561109199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1279.6429443359375,3.2643844200989665
CT0070021,1.0,0.0,1.0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.6485,4.444100000000001,35.16075,47.08325,0.59005,0.43025,6.15485,0.4881999999999999,0.0,8.542665987389269,7.846980982138788,1.8818286663169224,2.291453364565493,3.230195514750892,1.6094379124341005,0.0,0.0,0.6931471805599453,0.0,3.4830845247320785,4.600760452977432,2.0003171622138463,1.3862943611198906,3.63420149082316,0.0,3.558098561109199,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1279.6429443359375,3.2643844200989665
CT0090011,1.0,0.0,1.0,38,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,9.159888828480083,8.101980731853192,0.2861559084557344,3.3952530826045466,3.5683263353174404,2.8903717578961645,0.0,0.0,0.0,0.0,4.509319867048752,5.542334856152672,0.9150900112976362,0.6931471805599453,3.612459966311327,0.0,4.401747150755891,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1300.1319580078125,3.8832078066450086
CT0150011,1.0,0.0,1.0,118,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,12.770695875276136,11.594523884972483,0.5703578844673248,2.4712302189717565,1.924000446291096,2.19722457733622,0.0,0.0,0.0,0.0,3.40784194964372,2.762538396019353,1.6101776387691005,0.0,2.102266557738432,0.0,4.414388543374037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1271.56494140625,3.705394821541832
CT0150011,1.0,0.0,1.0,118,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,12.770695875276136,11.594523884972483,0.5703578844673248,2.4712302189717565,1.924000446291096,2.19722457733622,0.0,0.0,0.0,0.0,3.40784194964372,2.762538396019353,1.6101776387691005,0.0,2.102266557738432,0.0,4.414388543374037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1271.56494140625,3.705394821541832
CT0150011,1.0,0.0,1.0,118,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,12.770695875276136,11.594523884972483,0.5114454316453964,2.3850402729302385,1.9451384227797488,2.19722457733622,0.0,0.0,0.0,0.0,,,1.5053210675415314,0.0,2.09450255310514,0.0,4.426084189120119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1267.25,3.728403006022317
CT0150011,0.0,0.0,1.0,118,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,12.770695875276136,11.594523884972483,0.5114454316453964,2.3850402729302385,1.9451384227797488,2.19722457733622,0.0,0.0,0.0,0.0,,,1.5053210675415314,0.0,2.09450255310514,0.0,4.426084189120119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1267.25,3.728403006022317
CT0150011,0.0,0.0,1.0,118,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,12.770695875276136,11.594523884972483,0.5114454316453964,2.3850402729302385,1.9451384227797488,2.19722457733622,0.0,0.0,0.0,0.0,,,1.5053210675415314,0.0,2.09450255310514,0.0,4.426084189120119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1267.25,3.728403006022317
CT0170011,0.0,0.0,1.0,47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,10.860536276882453,9.700330435154036,0.929404371019538,2.30923294696551,3.627432150237396,2.8903717578961645,0.0,0.0,0.0,0.0,,,0.9886113934537812,1.3862943611198906,3.659605111409941,0.0,3.6070536994231066,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1352.4940185546875,2.3028650538013617
CT0170011,0.0,0.0,1.0,47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,10.860536276882453,9.700330435154036,0.929404371019538,2.30923294696551,3.627432150237396,2.8903717578961645,0.0,0.0,0.0,0.0,3.984860345143624,2.990161249815693,0.9886113934537812,1.3862943611198906,3.659605111409941,0.0,3.6070536994231066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1352.4940185546875,2.3028650538013617
