n,n_positive,positive_rate,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,true_negative,false_positive,false_negative,true_positive,fold,n_train,n_test,n_train_pws,n_test_pws
747,283,0.3788487282463186,0.7628282259047154,0.6454560758432807,0.7175368139223561,0.652542372881356,0.5441696113074205,0.5934489402697495,0.5,382,82,129,154,1,2992,747,1192,247
749,283,0.37783711615487314,0.7930587361045816,0.6719471955028353,0.7222963951935915,0.6033057851239669,0.773851590106007,0.6780185758513931,0.5,322,144,64,219,2,2990,749,1142,297
749,282,0.376502002670227,0.7971699545917049,0.7071004059480711,0.7116154873164219,0.5926966292134831,0.74822695035461,0.6614420062695925,0.5,322,145,71,211,3,2990,749,1133,306
748,283,0.3783422459893048,0.7437896576617652,0.6434200246791688,0.6711229946524064,0.5552238805970149,0.657243816254417,0.6019417475728155,0.5,316,149,97,186,4,2991,748,1125,314
746,282,0.3780160857908847,0.7292163426265591,0.6303952286527792,0.6890080428954424,0.5811688311688312,0.6347517730496454,0.6067796610169491,0.5,335,129,103,179,5,2993,746,1164,275
