fold,roc_auc,pr_auc,precision,recall,f1_opt,opt_threshold,n_test,n_pos_test
1,0.8191,0.6337,0.5878,0.6021,0.5948,0.5483,4724,1151
2,0.817,0.6096,0.5951,0.6046,0.5998,0.5613,4801,1123
3,0.7997,0.6087,0.551,0.6052,0.5768,0.5299,5291,1312
4,0.7922,0.5975,0.5247,0.6007,0.5602,0.5405,4983,1112
5,0.8072,0.6032,0.5296,0.6004,0.5628,0.5273,5013,1131
