feature,importance_mean,importance_std
precip_mm_ann,0.06401763153615204,0.002642346729782988
FWT_GW,0.06070208985587657,0.0019760608350382044
log_dist_pfas_clustered_km,0.06065461849584859,0.0020027976074762925
log_well_top_open_ft,0.06002410408555481,0.003409759284125966
log_dist_military_km,0.019356795812453215,0.001693369348591202
log_dist_fuds_km,0.01828083525906369,0.001126148511087054
log_dist_landfill_km,0.014814480763422849,0.0011435152402074838
log_dist_airport_km,0.011552531555329638,0.0008778682398548531
Is Source Water Protected,0.010007335085281056,0.0010688143783558846
source_wetland_clr,0.009307820082349743,0.0007892373520995457
source_agriculture_clr,0.007963908556164589,0.0007126084152848297
treat_con,0.0059075109633389185,0.0004812657863798906
ROCK_200,0.00589159607173787,0.0003636834255745416
log_well_screen_len_ft,0.005832212742754783,0.0006007857444102044
Primary Source_Surface water,0.003942935746885002,0.0003404251482790271
seller_chain_depth,0.0028443014552645197,0.00044348397390951894
disinfect_none,0.0023649358097473927,0.0005565224311943606
ROCK_300,0.0022017042542811283,0.0003365049877574936
ROCK_600,0.0019039562769243678,0.00022026232998941404
geochem_U_count,0.001663911881494362,0.00023072283626875186
treat_mfl,0.0012892713473644068,0.0002113446208613476
FWT_MX,0.0006687044560785671,6.690537295824024e-05
disinfect_uv,0.0004955766281247387,9.164635215269772e-05
log_count_fuds_in_huc12,0.00046297814711714904,0.0001262031646571832
Primary Source_Ground water purchased,0.0001515359607082545,5.2325922520910084e-05
log_count_airports_in_huc12,7.399997540167292e-05,6.279839629000652e-05
PWS Type_Transient non-community system,0.0,0.0
