n,n_positive,positive_rate,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,true_negative,false_positive,false_negative,true_positive,fold,n_train_rows,n_validation_rows,n_train_pws,n_validation_pws
747,283,0.3788487282463186,0.7668567990739612,0.6441384101560546,0.7161981258366801,0.6448979591836734,0.558303886925795,0.5984848484848485,0.5,377,87,125,158,1,2992,747,1192,247
749,283,0.37783711615487314,0.7860484690395668,0.6730258904530264,0.7036048064085447,0.5840220385674931,0.7491166077738516,0.6563467492260062,0.5,315,151,71,212,2,2990,749,1142,297
749,282,0.376502002670227,0.7875491670083679,0.6957360779538563,0.6969292389853138,0.5779036827195467,0.723404255319149,0.6425196850393701,0.5,318,149,78,204,3,2990,749,1133,306
748,283,0.3783422459893048,0.7492077966488089,0.6563987539513328,0.6737967914438503,0.5565217391304348,0.6784452296819788,0.6114649681528662,0.5,312,153,91,192,4,2991,748,1125,314
746,282,0.3780160857908847,0.7221852836879432,0.6415438304945122,0.6970509383378016,0.5927152317880795,0.6347517730496454,0.613013698630137,0.5,341,123,103,179,5,2993,746,1164,275
