n,n_positive,positive_rate,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,true_negative,false_positive,false_negative,true_positive,fold,n_train,n_test_pws
747,283,0.3788487282463186,0.7636392713537224,0.660007320800898,0.7228915662650602,0.6743119266055045,0.519434628975265,0.5868263473053892,0.5,393,71,136,147,1,2992,247
749,283,0.37783711615487314,0.8171150608896101,0.7254665176959021,0.7503337783711616,0.6463414634146342,0.7491166077738516,0.6939443535188216,0.5,350,116,71,212,2,2990,297
749,282,0.376502002670227,0.7884717602928001,0.6768388935186774,0.7263017356475301,0.6452830188679245,0.6063829787234043,0.6252285191956124,0.5,373,94,111,171,3,2990,306
748,283,0.3783422459893048,0.747262433983054,0.6236924128518961,0.7085561497326203,0.6094276094276094,0.6395759717314488,0.6241379310344828,0.5,349,116,102,181,4,2991,314
746,282,0.3780160857908847,0.7439166055270237,0.6402539850215757,0.6997319034852547,0.6141732283464567,0.5531914893617021,0.582089552238806,0.5,366,98,126,156,5,2993,275
