n,n_positive,positive_rate,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,true_negative,false_positive,false_negative,true_positive,fold,n_train,n_test_pws
747,283,0.3788487282463186,0.4901379919580846,0.34690816560733884,0.5261044176706827,0.42650103519668736,0.7279151943462897,0.5378590078328982,0.5,187,277,77,206,1,2992,247
749,283,0.37783711615487314,0.7640356996618087,0.6738754083994233,0.7009345794392523,0.5835694050991501,0.7279151943462897,0.6477987421383647,0.5,319,147,77,206,2,2990,297
749,282,0.376502002670227,0.7599852688808906,0.6501555586426656,0.6969292389853138,0.5725593667546174,0.7695035460992907,0.6565809379727685,0.5,305,162,65,217,3,2990,306
748,283,0.3783422459893048,0.7257646567118812,0.6238949638914179,0.6577540106951871,0.5398230088495575,0.6466431095406361,0.5884244372990354,0.5,309,156,100,183,4,2991,314
746,282,0.3780160857908847,0.7249403888481291,0.645353311477094,0.6836461126005362,0.5680473372781065,0.6808510638297872,0.6193548387096774,0.5,318,146,90,192,5,2993,275
