n,n_positive,positive_rate,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,true_negative,false_positive,false_negative,true_positive,fold,n_train,n_test_pws
747,283,0.3788487282463186,0.49010753015718295,0.34691114971233245,0.5287817938420348,0.4288659793814433,0.734982332155477,0.5416666666666666,0.5,187,277,75,208,1,2992,247
749,283,0.37783711615487314,0.764536162210528,0.6744768126034955,0.7022696929238985,0.5852272727272727,0.7279151943462897,0.6488188976377953,0.5,320,146,77,206,2,2990,297
749,282,0.376502002670227,0.7591120324388355,0.645100935535494,0.69826435246996,0.574468085106383,0.7659574468085106,0.6565349544072948,0.5,307,160,66,216,3,2990,306
748,283,0.3783422459893048,0.7252783160454426,0.6235416530455402,0.6577540106951871,0.5398230088495575,0.6466431095406361,0.5884244372990354,0.5,309,156,100,183,4,2991,314
746,282,0.3780160857908847,0.7241532159452189,0.644092643535419,0.6836461126005362,0.5676470588235294,0.6843971631205674,0.6205787781350482,0.5,317,147,89,193,5,2993,275
